2019-05-29 14:46:10 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  33,2; Parcels:      0; Health: 1010.0; Health Usage: 1010.0; Fuel: 4967.0; Tile: ROAD
2019-05-29 14:46:10 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  34,2; Parcels:      0; Health: 1010.0; Health Usage: 1010.0; Fuel: 4966.0; Tile: ROAD
2019-05-29 14:46:10 INFO  Car - Speed:   1.0; Angle:   EAST; Position:  35,2; Parcels:      0; Health: 1010.0; Health Usage: 1010.0; Fuel: 4965.0; Tile: ROAD
2019-05-29 14:46:10 INFO  Car - Speed:   1.0; Angle:  SOUTH; Position:  35,1; Parcels:      0; Health: 1010.0; Health Usage: 1010.0; Fuel: 4964.0; Tile: ROAD
2019-05-29 14:46:11 INFO  Car - Speed:   1.0; Angle:   WEST; Position:  34,1; Parcels:      0; Health: 1010.0; Health Usage: 1010.0; Fuel: 4963.0; Tile: ROAD
2019-05-29 14:46:11 INFO  Car - Speed:   1.0; Angle:   WEST; Position:  33,1; Parcels:      0; Health: 1010.0; Health Usage: 1010.0; Fuel: 4962.0; Tile: ROAD
2019-05-29 14:46:11 INFO  Car - Speed:   1.0; Angle:   WEST; Position:  32,1; Parcels:      0; Health: 1010.0; Health Usage: 1010.0; Fuel: 4961.0; Tile: ROAD
2019-05-29 14:46:11 INFO  Car - Speed:   1.0; Angle:   WEST; Position:  31,1; Parcels:      0; Health: 1010.0; Health Usage: 1010.0; Fuel: 4960.0; Tile: ROAD
2019-05-29 14:46:11 INFO  Car - Speed:   1.0; Angle:   WEST; Position:  30,1; Parcels:      0; Health: 1015.0; Health Usage: 1015.0; Fuel: 4959.0; Tile: ROAD
2019-05-29 14:46:11 INFO  Car - Speed:   1.0; Angle:   WEST; Position:  29,1; Parcels:      0; Health: 1020.0; Health Usage: 1020.0; Fuel: 4958.0; Tile: ROAD
2019-05-29 14:46:11 INFO  Car - Speed:   1.0; Angle:   WEST; Position:  28,1; Parcels:      0; Health: 1020.0; Health Usage: 1020.0; Fuel: 4957.0; Tile: ROAD
